4	Анкета о мире номер 15705192	женский	1991
5	Анкета о наболевшем номер 97563562	мужской	1962
6	Анкета о жизни номер 33771174	мужской	1960
7	Анкета о мире номер 24290827	женский	1991
8	Анкета о жизни номер 40048981	женский	1961
9	Анкета о мире номер 31261374	мужской	1989
10	Анкета о наболевшем номер 55277706	мужской	2007
11	Анкета о жизни номер 07634631	женский	1955
12	Анкета о жизни номер 49220479	женский	1977
13	Анкета о мире номер 55761032	мужской	1950
14	Анкета о жизни номер 68931170	женский	2004
15	Анкета о мире номер 46316289	мужской	2003
16	Анкета о наболевшем номер 66081867	женский	2007
17	Анкета о наболевшем номер 33354223	мужской	1976
18	Анкета о жизни номер 89594361	женский	1992
19	Анкета о наболевшем номер 43890965	мужской	1974
20	Анкета о наболевшем номер 29755277	мужской	1990
21	Анкета о наболевшем номер 24884970	мужской	1954
22	Анкета о мире номер 69313461	мужской	1996
23	Анкета о мире номер 22397639	мужской	1972
24	Анкета о жизни номер 24595777	мужской	1993
25	Анкета о жизни номер 82061164	женский	1992
26	Анкета о жизни номер 74308946	женский	1992
27	Анкета о жизни номер 18450413	женский	1965
28	Анкета о мире номер 46693795	мужской	2010
29	Анкета о жизни номер 85963451	женский	1999
30	Анкета о мире номер 56324860	мужской	1957
31	Анкета о наболевшем номер 73004713	женский	1989
32	Анкета о мире номер 64292759	мужской	1975
33	Анкета о мире номер 67355602	женский	2006
34	Анкета о наболевшем номер 82035988	мужской	1960
35	Анкета о мире номер 41714898	женский	1985
36	Анкета о наболевшем номер 56518165	мужской	1982
37	Анкета о мире номер 29005155	женский	1993
38	Анкета о наболевшем номер 78167659	мужской	1953
39	Анкета о наболевшем номер 44682088	женский	1981
40	Анкета о мире номер 53033508	женский	1979
41	Анкета о жизни номер 11310436	мужской	1960
42	Анкета о жизни номер 19352876	женский	1981
43	Анкета о жизни номер 02166769	мужской	1978
44	Анкета о наболевшем номер 27855283	женский	2000
45	Анкета о жизни номер 32811938	мужской	1966
46	Анкета о мире номер 42702044	мужской	2010
47	Анкета о жизни номер 02508945	мужской	1997
48	Анкета о жизни номер 98948462	мужской	2002
49	Анкета о мире номер 08232328	женский	2009
50	Анкета о жизни номер 44703549	мужской	1962
51	Анкета о жизни номер 06184942	мужской	2009
52	Анкета о мире номер 44976630	мужской	1959
53	Анкета о жизни номер 76500427	женский	2001
54	Анкета о наболевшем номер 41829853	женский	1967
55	Анкета о мире номер 72654020	женский	1953
56	Анкета о мире номер 56489325	мужской	1952
57	Анкета о мире номер 28433630	женский	1953
58	Анкета о жизни номер 38546331	мужской	1999
59	Анкета о жизни номер 75409097	женский	1992
60	Анкета о жизни номер 97914427	мужской	1951
61	Анкета о жизни номер 20827671	мужской	1965
62	Анкета о наболевшем номер 27163951	мужской	1985
63	Анкета о наболевшем номер 82363811	мужской	1965
64	Анкета о жизни номер 74112166	женский	1998
65	Анкета о мире номер 52081075	женский	2000
66	Анкета о жизни номер 87453900	женский	2010
67	Анкета о жизни номер 94957596	женский	1951
68	Анкета о наболевшем номер 54732142	мужской	1981
69	Анкета о наболевшем номер 52689009	мужской	1993
70	Анкета о мире номер 37439732	женский	1994
71	Анкета о наболевшем номер 96529122	мужской	1976
72	Анкета о жизни номер 05573789	мужской	1992
73	Анкета о жизни номер 71291494	мужской	1963
74	Анкета о мире номер 36209170	мужской	1961
75	Анкета о наболевшем номер 85123807	женский	1981
76	Анкета о наболевшем номер 43071882	мужской	1984
77	Анкета о мире номер 82666781	мужской	1983
78	Анкета о наболевшем номер 92970778	женский	2009
79	Анкета о жизни номер 42822537	мужской	1988
80	Анкета о жизни номер 53231785	мужской	1985
81	Анкета о мире номер 02976654	мужской	1965
82	Анкета о жизни номер 68945708	мужской	2000
83	Анкета о мире номер 42298917	мужской	1951
84	Анкета о жизни номер 60734242	женский	1957
85	Анкета о мире номер 78271438	мужской	1950
86	Анкета о наболевшем номер 59806877	мужской	1984
87	Анкета о наболевшем номер 73544434	женский	2007
88	Анкета о мире номер 30380938	женский	1966
89	Анкета о наболевшем номер 30222986	женский	1992
90	Анкета о наболевшем номер 81603531	женский	1968
91	Анкета о наболевшем номер 17665938	женский	1956
92	Анкета о жизни номер 02334401	женский	1961
93	Анкета о наболевшем номер 23332584	женский	1969
94	Анкета о жизни номер 01016993	мужской	1986
95	Анкета о наболевшем номер 97434398	женский	1983
96	Анкета о мире номер 71189989	женский	1966
97	Анкета о жизни номер 23106873	женский	1951
98	Анкета о жизни номер 51506867	женский	1986
99	Анкета о мире номер 66883759	мужской	2008
100	Анкета о наболевшем номер 19285126	женский	2010
101	Анкета о жизни номер 68188122	мужской	1951
102	Анкета о наболевшем номер 19625693	женский	1957
103	Анкета о наболевшем номер 56934683	женский	1959
104	Анкета о мире номер 64199048	женский	1983
105	Анкета о жизни номер 95923930	женский	1990
106	Анкета о жизни номер 53913202	мужской	1975
107	Анкета о мире номер 96523430	женский	1985
108	Анкета о мире номер 21357716	мужской	1992
109	Анкета о наболевшем номер 53420361	мужской	2001
110	Анкета о наболевшем номер 22556258	мужской	1978
111	Анкета о жизни номер 09326160	мужской	2004
112	Анкета о наболевшем номер 39182417	мужской	1952
113	Анкета о наболевшем номер 81779197	женский	1982
114	Анкета о жизни номер 63743318	женский	1975
115	Анкета о жизни номер 99004323	мужской	1985
116	Анкета о жизни номер 85192882	женский	2005
117	Анкета о мире номер 85562455	мужской	1981
118	Анкета о мире номер 35080298	женский	1955
119	Анкета о наболевшем номер 96754467	мужской	1978
120	Анкета о мире номер 85926736	женский	1960
121	Анкета о жизни номер 27098624	женский	1992
122	Анкета о мире номер 40379291	мужской	1965
123	Анкета о наболевшем номер 53079552	мужской	2008
124	Анкета о жизни номер 14622560	мужской	1988
125	Анкета о мире номер 84811936	женский	1964
126	Анкета о наболевшем номер 39887229	мужской	1973
127	Анкета о жизни номер 30442177	мужской	1988
128	Анкета о жизни номер 22740667	мужской	2010
129	Анкета о мире номер 05064621	мужской	1983
130	Анкета о жизни номер 82244244	мужской	2007
131	Анкета о жизни номер 31968115	женский	2009
132	Анкета о жизни номер 00664638	женский	2000
133	Анкета о мире номер 82484351	мужской	1962
134	Анкета о наболевшем номер 69395475	мужской	1955
135	Анкета о мире номер 34483759	женский	1999
136	Анкета о мире номер 39069888	мужской	1958
137	Анкета о наболевшем номер 58098211	женский	1988
138	Анкета о мире номер 30484869	женский	1984
139	Анкета о наболевшем номер 09099459	мужской	1989
140	Анкета о наболевшем номер 79603344	мужской	1985
141	Анкета о наболевшем номер 37422028	мужской	2009
142	Анкета о наболевшем номер 88321907	женский	2008
143	Анкета о наболевшем номер 76821963	мужской	2000
144	Анкета о наболевшем номер 27211876	мужской	1988
145	Анкета о жизни номер 52551650	женский	1969
146	Анкета о мире номер 85068870	женский	1981
147	Анкета о жизни номер 28621142	женский	1964
148	Анкета о наболевшем номер 68887480	мужской	1986
149	Анкета о мире номер 09699071	женский	2001
150	Анкета о наболевшем номер 16035407	женский	1961
151	Анкета о наболевшем номер 10921356	мужской	2004
152	Анкета о мире номер 65077493	женский	1960
153	Анкета о наболевшем номер 68704034	женский	1984
154	Анкета о жизни номер 68975274	женский	1974
155	Анкета о наболевшем номер 55582370	женский	1967
156	Анкета о наболевшем номер 54422908	мужской	1971
157	Анкета о мире номер 18506775	женский	2003
158	Анкета о наболевшем номер 11731700	мужской	1954
159	Анкета о жизни номер 11974301	женский	1999
160	Анкета о мире номер 51368047	женский	2009
161	Анкета о мире номер 85475990	мужской	1953
162	Анкета о жизни номер 51998752	мужской	1965
163	Анкета о наболевшем номер 14745031	мужской	1972
164	Анкета о наболевшем номер 75172662	мужской	1955
165	Анкета о наболевшем номер 34349527	мужской	1995
166	Анкета о мире номер 74283078	женский	2004
167	Анкета о наболевшем номер 68886206	мужской	1969
168	Анкета о жизни номер 79214241	мужской	1950
169	Анкета о мире номер 70644254	женский	1995
170	Анкета о мире номер 31269966	женский	1961
171	Анкета о мире номер 12981074	мужской	1953
172	Анкета о жизни номер 59440619	женский	1970
173	Анкета о наболевшем номер 92679816	мужской	1996
174	Анкета о наболевшем номер 51296990	мужской	1974
175	Анкета о мире номер 66182228	женский	2010
176	Анкета о наболевшем номер 19819260	женский	1983
177	Анкета о мире номер 72354169	женский	1966
178	Анкета о жизни номер 19915756	женский	1957
179	Анкета о жизни номер 01516391	женский	1989
180	Анкета о жизни номер 74311344	женский	1987
181	Анкета о наболевшем номер 35725440	мужской	2010
182	Анкета о мире номер 73625449	женский	2004
183	Анкета о жизни номер 14031695	мужской	1954
184	Анкета о мире номер 42116752	мужской	1955
185	Анкета о мире номер 63217175	женский	2000
186	Анкета о жизни номер 92303210	мужской	2008
187	Анкета о мире номер 51531632	женский	1967
188	Анкета о мире номер 48205359	мужской	1999
189	Анкета о мире номер 98404052	женский	2009
190	Анкета о наболевшем номер 26578657	мужской	1999
191	Анкета о наболевшем номер 83367612	мужской	1969
192	Анкета о наболевшем номер 00953624	мужской	1957
193	Анкета о мире номер 51639183	мужской	1999
194	Анкета о наболевшем номер 75924701	мужской	2002
195	Анкета о жизни номер 77993527	женский	1985
196	Анкета о мире номер 05031402	мужской	1986
197	Анкета о жизни номер 11964619	женский	1989
198	Анкета о жизни номер 58669094	мужской	1971
199	Анкета о наболевшем номер 15159058	женский	1958
200	Анкета о жизни номер 38300042	женский	1990
201	Анкета о жизни номер 77217958	мужской	1953
202	Анкета о жизни номер 21619756	женский	1989
203	Анкета о наболевшем номер 64473149	женский	2008
\.


